# Hosts information in Wireshark 
#
# Host data gathered from /home/ishtar/github/ntua-netmgmnt/lab4/trace_b.cap

Key:0xd80d6693 IP: 147.102.13.216, Name: dhcp-216.netmode.ece.ntua.gr
Key:0x790d6693 IP: 147.102.13.121, Name: efipsans.netmode.ece.ntua.gr
Key:0x1a0d6693 IP: 147.102.13.26, Name: sheep.netmode.ece.ntua.gr
Key:0x22e06693 IP: 147.102.224.34, Name: 147.102.224.34
Key:0x646486c3 IP: 195.134.100.100, Name: olympus.noc.uoa.gr
Key:0x5c0d6693 IP: 147.102.13.92, Name: elena.netmode.ece.ntua.gr
Key:0xfd0d6693 IP: 147.102.13.253, Name: dolly-man.netmode.ece.ntua.gr
Key:0x3f0d6693 IP: 147.102.13.63, Name: dhcp-63.netmode.ece.ntua.gr
Key:0x810d6693 IP: 147.102.13.129, Name: skywalker.netmode.ece.ntua.gr
Key:0x220d6693 IP: 147.102.13.34, Name: spiuno.netmode.ece.ntua.gr
Key:0x640d6693 IP: 147.102.13.100, Name: donald.netmode.ece.ntua.gr
Key:0x50d6693 IP: 147.102.13.5, Name: camera.netmode.ece.ntua.gr
Key:0xa60d6693 IP: 147.102.13.166, Name: inhambane.netmode.ece.ntua.gr
Key:0x470d6693 IP: 147.102.13.71, Name: dhcp-71.netmode.ece.ntua.gr
Key:0xe80d6693 IP: 147.102.13.232, Name: pdu0.netmode.ece.ntua.gr
Key:0xa307a0c8 IP: 200.160.7.163, Name: grdns-br.ics.forth.gr
Key:0x890d6693 IP: 147.102.13.137, Name: dhcp-137.netmode.ece.ntua.gr
Key:0x2a0d6693 IP: 147.102.13.42, Name: grid2.netmode.ece.ntua.gr
Key:0x28ffabc1 IP: 193.171.255.40, Name: grdns-at.ics.forth.gr
Key:0x6c0d6693 IP: 147.102.13.108, Name: hermes.netmode.ece.ntua.gr
Key:0xd0d6693 IP: 147.102.13.13, Name: tv.netmode.ece.ntua.gr
Key:0xae0d6693 IP: 147.102.13.174, Name: ramanujan.netmode.ece.ntua.gr
Key:0x4f0d6693 IP: 147.102.13.79, Name: dhcp-79.netmode.ece.ntua.gr
